GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Test documentation,it.serendigity.samples.nested,ComplexJavaDocTag,205,0,16,0,65,0,42,0,34,0
Test documentation,it.serendigity.other,Dynamite,35,0,0,0,7,0,3,0,3,0
Test documentation,it.serendigity.other,ACMESmartphone,78,0,2,0,14,0,4,0,3,0
Test documentation,it.serendigity.other,App,18,0,0,0,5,0,2,0,2,0
Test documentation,it.serendigity.samples,Calculator,3,18,1,1,1,4,2,4,1,4
